User ID,Age,Gender,Location,Phone Brand,OS,Screen Time (hrs/day),Data Usage (GB/month),Calls Duration (mins/day),Number of Apps Installed,Social Media Time (hrs/day),E-commerce Spend (INR/month),Streaming Time (hrs/day),Gaming Time (hrs/day),Monthly Recharge Cost (INR),Primary Use,cluster_kmeans,cluster_hierarchical,cluster_dbscan,cluster_gmm,cluster_spectral
U00025,29,0,1,6,0,7.0,41.7,51.0,130,1.4,2604,3.5,1.6,1154,0,0,0,0,0,0
U00026,36,1,4,8,0,5.6,47.4,155.4,123,5.9,1886,2.3,3.0,955,4,0,0,0,0,0
U00027,15,1,3,8,0,9.2,42.7,230.9,180,0.5,4611,1.0,2.5,210,2,0,0,0,0,0
U00028,41,2,5,6,0,8.1,44.1,81.8,25,1.9,5545,5.7,3.7,1488,0,0,0,0,0,0
U00029,51,0,6,8,0,10.7,45.1,94.0,127,3.5,2293,6.7,5.0,333,0,0,0,0,0,0
U00030,45,0,4,6,0,6.3,34.5,244.3,125,5.0,1647,5.9,0.2,1541,1,0,0,0,0,0
U00031,39,0,5,2,0,4.0,9.4,194.2,32,1.5,8314,6.7,3.5,447,1,0,0,0,0,0
U00032,40,0,7,4,0,8.4,25.7,262.8,174,1.3,3010,4.9,3.0,419,0,0,0,0,0,0
U00033,28,0,2,9,0,5.3,16.8,264.9,84,1.3,9222,7.2,3.0,1699,3,0,0,0,0,0
U00034,23,0,2,2,0,11.4,48.4,216.8,98,3.2,5026,2.7,4.9,1079,2,0,0,0,0,0
U00035,57,1,3,8,0,4.1,31.2,61.5,149,5.1,386,3.9,1.0,1935,3,0,0,0,0,0
U00036,23,0,0,8,0,10.7,29.0,9.0,175,2.9,633,6.4,0.0,1345,3,0,0,0,0,0
U00037,56,2,6,3,0,9.4,42.1,246.7,113,4.9,498,0.9,4.3,982,4,0,0,0,0,0
U00038,20,2,2,7,0,11.9,45.5,195.8,150,4.1,479,5.6,1.7,169,0,0,0,0,0,0
U00039,22,2,6,1,0,1.6,34.1,6.0,153,5.8,5175,5.7,2.2,805,4,0,0,0,0,0
U00040,19,1,6,0,1,5.5,2.9,212.5,129,5.6,8514,7.9,0.8,647,0,1,1,1,1,1
U00041,49,2,7,7,0,5.2,43.4,151.8,114,5.6,3826,6.8,3.1,1192,3,0,0,0,0,0
U00042,54,1,0,8,0,2.2,22.0,30.8,156,1.8,8307,1.1,3.0,1788,3,0,0,0,0,0
U00043,40,1,1,8,0,2.5,10.6,219.1,113,1.8,238,0.9,2.2,1924,4,0,0,0,0,0
U00044,52,0,6,9,0,4.4,33.8,189.3,44,3.8,1869,3.6,2.4,1382,3,0,0,0,0,0
U00045,42,2,8,1,0,4.2,3.4,171.6,108,3.3,5178,1.3,4.8,322,0,0,0,0,0,0
U00046,23,2,4,7,0,4.3,26.4,210.5,53,5.3,1250,7.5,0.6,314,1,0,0,0,0,0
U00047,51,2,8,7,0,10.7,17.6,293.4,65,5.2,3313,1.8,1.3,1319,0,0,0,0,0,0
U00048,19,1,1,6,0,3.1,24.8,82.1,75,3.9,1396,2.0,1.6,1245,3,0,0,0,0,0
U00049,52,2,3,9,0,1.5,41.0,95.5,140,5.5,8029,5.0,0.1,802,3,0,0,0,0,0
U00050,17,2,7,0,1,4.7,30.4,157.7,187,2.6,9189,4.3,4.9,801,1,1,1,1,1,1
U00051,31,0,0,3,0,10.4,41.1,32.5,171,3.5,7702,7.1,0.8,1833,0,0,0,0,0,0
U00052,49,2,5,4,0,8.6,46.0,181.8,154,1.6,4264,7.5,0.4,1142,3,0,0,0,0,0
U00053,21,1,3,2,0,9.4,15.4,10.6,34,2.5,3130,2.5,4.8,1882,0,0,0,0,0,0
U00054,51,1,7,4,0,5.4,15.8,115.7,115,3.2,2929,3.0,2.7,1772,3,0,0,0,0,0
U00055,32,2,8,8,0,5.8,27.5,30.0,193,4.0,948,5.6,4.6,122,3,0,0,0,0,0
U00056,43,2,1,9,0,8.6,14.4,275.5,27,4.7,9544,3.6,3.4,1395,4,0,0,0,0,0
U00057,25,1,1,4,0,5.6,38.0,296.5,40,1.5,799,1.0,2.4,1831,4,0,0,0,0,0
U00058,16,0,9,3,0,9.0,7.1,142.9,164,4.9,6088,2.1,1.9,686,4,0,0,0,0,0
U00059,49,1,9,2,0,3.4,17.0,235.4,52,2.8,7018,7.3,4.7,2000,0,0,0,0,0,0
U00060,35,1,4,9,0,3.0,8.3,253.1,18,2.5,9494,3.1,4.6,479,2,0,0,0,0,0
U00061,49,1,9,0,1,4.5,1.9,54.5,197,4.3,3575,6.7,0.0,679,1,1,1,1,1,1
U00062,34,0,6,0,1,3.5,20.6,134.0,73,5.6,2918,3.0,1.0,329,1,1,1,1,1,1
U00063,38,2,5,5,0,1.3,9.0,119.7,36,2.0,5666,4.0,4.1,1605,0,0,0,0,0,0
U00064,38,0,0,4,0,3.2,13.2,206.3,31,3.2,3342,4.2,0.3,1005,4,0,0,0,0,0
U00065,41,0,3,6,0,2.5,9.3,111.0,69,0.6,2918,6.5,1.9,1699,0,0,0,0,0,0
U00066,41,0,1,7,0,8.3,19.4,194.5,25,5.8,9918,5.3,3.5,782,0,0,0,0,0,0
U00067,30,0,0,7,0,1.7,10.4,74.0,64,2.5,468,4.9,4.1,1361,4,0,0,0,0,0
U00068,43,1,6,1,0,3.0,24.3,151.7,143,1.1,4443,6.3,0.3,546,0,0,0,0,0,0
U00069,40,0,6,7,0,4.2,28.1,8.9,62,4.1,8932,7.3,0.8,209,3,0,0,0,0,0
U00070,18,1,3,5,0,5.3,10.4,257.0,116,2.3,4368,7.6,4.2,1359,2,0,0,0,0,0
U00071,24,0,3,0,1,11.2,14.7,241.5,158,1.4,563,2.3,3.5,1845,4,1,1,1,1,1
U00072,51,0,7,5,0,11.9,47.8,21.5,68,4.3,7945,2.3,3.8,1749,3,0,0,0,0,0
U00073,23,2,6,2,0,5.2,34.6,159.3,140,4.3,5816,7.8,2.8,1406,2,0,0,0,0,0
U00074,43,2,6,6,0,6.9,3.0,74.6,117,3.1,1883,5.2,1.8,108,2,0,0,0,0,0
U00075,31,1,0,1,0,6.8,26.2,74.5,150,5.1,1073,1.1,0.8,1393,4,0,0,0,0,0
U00076,56,0,3,5,0,6.1,20.7,23.2,117,1.6,3672,3.2,2.1,430,2,0,0,0,0,0
U00077,51,0,0,7,0,9.2,45.9,294.0,129,3.7,5449,1.0,3.8,1222,1,0,0,0,0,0
U00078,19,2,6,2,0,6.0,42.2,193.0,101,3.1,4606,2.2,3.9,705,1,0,0,0,0,0
U00079,26,2,9,9,0,11.1,1.3,51.9,52,0.6,1308,4.7,1.1,1104,3,0,0,0,0,0
U00080,28,1,2,9,0,5.7,49.5,98.2,190,2.1,8715,7.9,3.2,195,2,0,0,0,0,0
U00081,37,2,9,4,0,10.5,33.0,69.0,92,4.0,8284,1.3,4.1,781,4,0,0,0,0,0
U00082,42,2,7,1,0,1.8,9.2,107.6,19,3.5,4648,3.7,0.6,1691,0,0,0,0,0,0
U00083,46,2,9,6,0,10.0,30.8,105.6,179,3.9,3003,4.9,2.4,472,1,0,0,0,0,0
U00084,52,1,5,7,0,5.0,46.6,127.1,56,4.6,7151,4.1,2.2,554,0,0,0,0,0,0
U00085,23,0,4,7,0,4.5,44.3,298.9,166,2.2,9243,1.2,4.4,1355,1,0,0,0,0,0
U00086,25,0,4,3,0,5.0,26.4,216.9,78,4.0,3751,1.7,4.4,1249,1,0,0,0,0,0
U00087,39,0,0,3,0,2.4,14.6,9.5,84,1.6,1401,3.6,2.0,1081,0,0,0,0,0,0
U00088,43,2,7,8,0,11.4,45.5,215.1,28,1.1,6568,7.4,0.5,505,3,0,0,0,0,0
U00089,39,1,5,7,0,8.8,40.8,237.2,190,2.8,5779,6.6,1.3,1767,3,0,0,0,0,0
U00090,38,1,7,5,0,1.8,49.9,87.3,95,5.2,5891,6.4,0.1,1401,2,0,0,0,0,0
U00091,46,2,7,2,0,6.7,15.8,120.9,187,1.2,2427,6.4,2.5,1186,2,0,0,0,0,0
U00092,33,1,5,8,0,10.9,38.0,273.4,198,3.0,305,5.1,2.7,324,0,0,0,0,0,0
U00093,51,2,3,3,0,10.5,28.4,182.7,86,1.2,1305,7.1,1.7,1479,2,0,0,0,0,0
U00094,57,2,9,3,0,10.8,39.2,28.6,126,4.0,526,4.7,1.2,1610,1,0,0,0,0,0
U00095,59,1,9,1,0,2.3,11.6,52.3,136,2.9,6699,1.5,4.2,1239,1,0,0,0,0,0
U00096,21,2,6,8,0,7.2,29.6,180.6,88,1.4,9995,1.1,0.4,1727,2,0,0,0,0,0
U00097,17,2,4,2,0,11.8,35.2,111.2,140,0.7,856,7.0,2.0,1474,1,0,0,0,0,0
U00098,22,1,8,1,0,8.0,12.9,82.9,113,3.9,2936,4.7,0.0,443,4,0,0,0,0,0
U00099,25,1,1,0,1,1.5,25.9,24.3,62,4.5,9363,7.5,0.2,809,1,1,1,1,1,1
U00100,29,0,6,2,0,7.8,42.5,71.6,17,4.2,1972,3.7,3.3,990,3,0,0,0,0,0
U00101,31,0,9,0,1,10.9,41.1,273.4,157,4.2,9043,2.8,3.4,431,0,1,1,1,1,1
U00102,39,1,9,0,1,8.4,46.3,175.6,180,5.6,3881,7.0,0.1,1254,3,1,1,1,1,1
U00103,15,2,8,6,0,10.5,39.3,77.1,137,2.2,8230,3.1,3.1,687,4,0,0,0,0,0
U00104,21,1,3,0,1,3.6,5.5,30.6,200,4.5,5214,7.7,3.8,1129,1,1,1,1,1,1
U00105,56,1,4,2,0,11.6,31.6,123.1,150,2.0,7124,6.7,3.4,1037,1,0,0,0,0,0
U00106,29,0,5,9,0,4.8,8.4,253.0,62,5.9,1373,1.4,0.8,1216,2,0,0,0,0,0
U00107,58,0,2,9,0,7.9,7.9,18.5,34,1.0,1875,3.5,0.4,1983,3,0,0,0,0,0
U00108,40,2,2,9,0,5.5,42.8,50.0,142,3.6,8911,4.4,3.7,1226,4,0,0,0,0,0
U00109,38,2,4,6,0,4.5,20.9,62.8,198,0.5,5339,0.6,3.3,767,3,0,0,0,0,0
U00110,32,2,3,4,0,9.2,43.4,281.8,55,3.5,3082,4.6,3.9,1338,4,0,0,0,0,0
U00111,28,0,4,7,0,9.3,48.8,107.2,190,1.4,1623,7.6,2.9,1839,0,0,0,0,0,0
U00112,57,1,5,3,0,9.6,49.4,257.1,47,2.7,5899,6.0,2.5,414,2,0,0,0,0,0
U00113,43,0,5,5,0,1.2,20.5,244.1,13,3.0,4570,5.3,3.2,206,3,0,0,0,0,0
U00114,54,2,4,1,0,8.0,24.5,85.7,163,1.5,2640,3.8,1.1,1580,3,0,0,0,0,0
U00115,15,2,9,5,0,8.5,18.6,118.8,30,5.8,7615,6.8,2.5,448,0,0,0,0,0,0
U00116,27,1,5,0,1,1.5,7.8,50.7,151,1.1,5508,3.4,2.8,392,0,1,1,1,1,1
U00117,56,1,2,6,0,5.2,3.5,6.7,101,5.5,8684,5.8,0.5,1627,1,0,0,0,0,0
U00118,15,2,5,3,0,8.9,13.9,99.2,51,5.4,7174,0.7,1.7,1837,0,0,0,0,0,0
U00119,19,0,2,2,0,7.2,16.0,163.5,191,1.9,6130,4.8,1.8,1202,2,0,0,0,0,0
U00120,31,2,8,6,0,7.5,29.2,259.3,141,4.5,1991,1.3,1.1,1936,4,0,0,0,0,0
U00121,44,2,2,3,0,10.8,15.8,152.4,81,3.1,8153,7.3,1.6,1350,2,0,0,0,0,0
U00122,53,1,4,1,0,1.4,28.9,265.2,179,3.9,1032,4.5,2.1,254,1,0,0,0,0,0
U00123,46,2,8,7,0,5.9,38.1,144.6,186,2.1,684,4.5,1.2,1562,3,0,0,0,0,0
U00124,25,2,4,4,0,3.7,49.5,160.5,77,4.2,9444,1.8,0.2,1268,1,0,0,0,0,0
U00125,49,1,9,1,0,10.1,9.4,69.5,125,0.7,5893,4.2,4.6,837,3,0,0,0,0,0
U00126,23,0,9,5,0,10.1,6.1,68.8,198,5.8,3598,1.6,3.9,1054,4,0,0,0,0,0
U00127,24,1,3,7,0,6.1,9.0,240.6,126,1.0,1035,3.2,1.3,944,2,0,0,0,0,0
U00128,21,1,8,5,0,6.5,1.5,115.0,196,2.1,1824,1.8,1.8,727,1,0,0,0,0,0
U00129,39,0,3,0,1,4.8,22.6,205.0,71,5.3,5852,3.6,3.6,1574,4,1,1,1,1,1
U00130,50,0,3,2,0,3.7,48.7,57.3,52,3.9,7916,2.7,2.1,905,3,0,0,0,0,0
U00131,25,2,4,4,0,5.2,37.5,218.5,23,3.1,3433,6.6,2.0,147,0,0,0,0,0,0
U00132,21,2,7,8,0,2.9,27.6,202.1,85,1.8,6866,3.3,4.2,1149,1,0,0,0,0,0
U00133,39,0,4,1,0,7.7,6.6,118.1,39,4.9,5299,7.9,2.5,1795,3,0,0,0,0,0
U00134,48,1,2,0,1,5.0,22.5,98.8,143,2.1,708,7.6,2.9,1389,3,1,1,1,1,1
U00135,18,2,7,0,1,3.7,40.8,226.0,167,0.8,4554,0.9,4.2,411,3,1,1,1,1,1
U00136,56,1,5,3,0,4.4,11.9,30.3,68,5.7,716,2.6,0.3,715,1,0,0,0,0,0
U00137,43,2,7,7,0,2.4,42.1,147.2,143,4.8,3847,5.6,4.4,1760,4,0,0,0,0,0
U00138,59,1,0,9,0,8.8,31.1,216.5,122,2.8,3840,4.1,3.4,267,1,0,0,0,0,0
U00139,33,1,0,0,1,8.2,34.4,173.0,177,5.2,8751,0.7,3.0,850,2,1,1,1,1,1
U00140,19,1,7,8,0,4.1,14.3,134.6,193,4.9,977,6.2,0.2,512,3,0,0,0,0,0
U00141,59,0,6,9,0,1.5,5.3,286.9,83,4.8,151,6.9,0.4,1849,2,0,0,0,0,0
U00142,49,1,5,3,0,1.8,14.2,176.7,138,3.4,4034,8.0,2.5,1130,0,0,0,0,0,0
U00143,53,0,1,9,0,8.1,22.6,228.5,48,2.8,1175,5.0,2.2,176,2,0,0,0,0,0
U00144,49,2,7,2,0,11.7,42.6,218.5,150,5.6,6184,6.3,0.6,1980,3,0,0,0,0,0
U00145,57,2,2,2,0,1.1,23.3,41.1,10,0.8,2170,4.1,2.6,1653,3,0,0,0,0,0
U00146,45,1,8,8,0,6.7,26.1,137.5,137,4.9,8216,5.6,1.3,306,3,0,0,0,0,0
U00147,18,1,4,0,1,6.0,16.7,201.8,43,2.9,4640,5.2,4.6,1497,1,1,1,1,1,1
U00148,42,1,2,1,0,5.5,49.4,55.7,117,1.4,9032,2.0,4.5,332,1,0,0,0,0,0
U00149,39,1,4,5,0,3.1,9.3,165.3,199,2.6,8547,1.4,3.5,186,3,0,0,0,0,0
U00150,60,1,9,7,0,11.8,40.7,134.9,75,2.0,837,2.3,1.8,387,0,0,0,0,0,0
U00151,16,2,2,7,0,7.9,6.8,69.8,38,2.8,5468,7.7,4.2,1304,1,0,0,0,0,0
U00152,51,1,3,6,0,1.7,26.0,80.4,33,5.7,8873,4.0,1.3,1318,3,0,0,0,0,0
U00153,50,2,3,2,0,3.8,15.6,264.9,183,0.9,4894,0.7,4.2,1740,4,0,0,0,0,0
U00154,29,0,7,8,0,3.9,19.0,64.4,106,1.0,9942,3.3,0.3,612,3,0,0,0,0,0
U00155,51,0,7,4,0,7.3,44.2,211.4,80,0.5,6983,6.1,2.5,1150,2,0,0,0,0,0
U00156,50,2,0,3,0,5.4,15.1,40.6,130,5.6,3470,5.3,2.2,1047,3,0,0,0,0,0
U00157,34,2,6,4,0,1.9,1.4,187.6,34,2.5,2706,0.9,4.4,287,3,0,0,0,0,0
U00158,16,2,5,2,0,11.5,41.2,274.4,122,4.8,206,3.1,1.2,1935,0,0,0,0,0,0
U00159,35,0,4,9,0,7.9,33.3,50.0,90,5.8,8385,6.2,4.0,633,4,0,0,0,0,0
U00160,39,1,9,5,0,7.2,12.1,281.8,58,1.9,5116,7.6,4.5,1271,3,0,0,0,0,0
U00161,38,1,5,3,0,5.0,27.2,166.8,152,1.8,1111,0.7,4.0,578,4,0,0,0,0,0
U00162,34,2,8,6,0,9.4,9.7,96.8,19,4.0,7564,3.2,2.1,1003,4,0,0,0,0,0
U00163,58,2,8,0,1,7.1,43.3,248.5,57,2.6,8474,2.0,0.9,160,2,1,1,1,1,1
U00164,40,2,2,8,0,9.9,14.7,128.0,121,3.6,3870,5.2,3.8,258,3,0,0,0,0,0
U00165,20,0,5,1,0,9.0,6.0,137.9,49,0.7,8615,0.8,2.3,223,0,0,0,0,0,0
U00166,29,1,2,5,0,10.1,33.3,168.3,40,2.5,8182,4.9,0.2,621,2,0,0,0,0,0
U00167,29,2,2,5,0,8.1,37.9,218.4,93,4.0,7142,5.5,0.1,157,2,0,0,0,0,0
U00168,33,2,0,1,0,3.6,36.2,83.9,52,4.9,639,7.9,3.0,1480,2,0,0,0,0,0
U00169,28,2,4,7,0,11.1,35.3,37.4,182,5.6,7845,3.3,2.2,1813,3,0,0,0,0,0
U00170,28,0,5,7,0,7.5,20.6,205.1,188,3.7,7816,3.4,3.0,952,3,0,0,0,0,0
U00171,47,1,8,3,0,8.7,25.7,196.5,14,5.3,2252,4.6,3.7,757,0,0,0,0,0,0
U00172,39,0,2,1,0,12.0,32.2,35.9,16,4.1,1414,0.8,3.6,233,1,0,0,0,0,0
U00173,47,1,2,7,0,5.0,26.6,250.1,21,3.8,2485,7.6,0.6,1723,3,0,0,0,0,0
U00174,19,2,8,9,0,11.7,6.2,81.7,20,3.3,3667,6.1,4.2,722,3,0,0,0,0,0
U00175,54,1,4,1,0,8.7,30.9,286.4,173,3.0,2456,6.8,2.3,1716,3,0,0,0,0,0
U00176,44,0,0,3,0,3.7,26.1,275.5,119,2.8,957,2.4,1.8,590,4,0,0,0,0,0
U00177,52,0,7,4,0,2.2,18.7,121.5,132,1.1,1903,5.4,0.2,1804,3,0,0,0,0,0
U00178,43,1,9,3,0,5.4,21.2,244.2,140,3.3,8206,7.9,1.0,1178,3,0,0,0,0,0
U00179,50,1,6,4,0,4.0,9.2,267.7,53,5.7,6357,0.7,1.2,1479,4,0,0,0,0,0
U00180,30,1,8,6,0,5.8,15.2,116.0,10,2.5,1605,4.7,0.2,897,1,0,0,0,0,0
U00181,38,2,4,7,0,5.1,18.7,67.4,147,3.3,5150,6.5,0.7,408,3,0,0,0,0,0
U00182,33,0,4,6,0,4.3,44.9,64.7,176,5.2,3146,2.2,0.2,1484,4,0,0,0,0,0
U00183,53,0,9,1,0,4.9,6.5,199.6,181,5.1,7676,3.3,0.6,1150,4,0,0,0,0,0
U00184,56,1,6,4,0,10.4,47.4,168.2,127,1.8,126,5.3,1.3,319,3,0,0,0,0,0
U00185,58,0,9,5,0,5.4,14.8,106.0,58,5.0,3633,1.7,4.6,703,1,0,0,0,0,0
U00186,31,0,7,0,1,11.8,35.5,132.0,91,4.4,4462,0.8,2.8,858,1,1,1,1,1,1
U00187,42,0,8,6,0,10.2,21.4,296.3,175,1.1,2252,3.4,1.1,716,4,0,0,0,0,0
U00188,48,0,2,1,0,9.4,35.8,256.5,160,1.6,8873,5.1,1.6,882,4,0,0,0,0,0
U00189,51,0,3,3,0,6.1,46.3,38.1,89,2.1,6856,5.3,0.9,1328,1,0,0,0,0,0
U00190,58,0,5,2,0,4.5,7.3,126.7,174,2.6,8052,7.3,2.4,779,2,0,0,0,0,0
U00191,32,2,4,8,0,1.6,9.1,122.1,120,3.7,2559,6.0,1.3,1557,2,0,0,0,0,0
U00192,41,0,3,7,0,4.6,49.0,89.2,28,4.8,8197,6.9,4.4,1969,3,0,0,0,0,0
U00193,20,1,5,6,0,5.0,33.3,28.3,70,3.1,2828,3.7,2.1,418,3,0,0,0,0,0
U00194,52,2,4,3,0,2.1,50.0,165.8,126,2.7,5500,6.4,3.9,739,1,0,0,0,0,0
U00195,53,2,8,1,0,3.3,43.2,102.8,140,1.3,1248,3.5,0.0,846,3,0,0,0,0,0
U00196,23,1,2,9,0,8.4,8.0,124.2,51,4.3,6406,3.1,0.1,953,0,0,0,0,0,0
U00197,36,1,4,1,0,3.0,41.0,188.4,95,1.8,627,1.7,4.0,1407,3,0,0,0,0,0
U00198,34,0,6,3,0,3.9,43.6,296.2,193,0.8,2430,1.9,4.0,1128,2,0,0,0,0,0
U00199,45,2,3,0,1,6.4,15.3,38.5,96,5.7,3191,7.9,4.6,1082,3,1,1,1,1,1
U00200,49,0,0,6,0,8.4,28.8,62.6,16,0.7,3036,3.3,3.7,1184,2,0,0,0,0,0
U00201,17,2,8,4,0,4.1,20.9,29.9,161,5.0,3385,7.8,2.3,1139,0,0,0,0,0,0
U00202,33,2,3,6,0,8.7,7.5,258.6,42,4.6,8676,3.0,1.9,366,2,0,0,0,0,0
U00203,41,2,5,4,0,6.6,44.6,56.3,28,2.6,4031,1.5,0.3,395,0,0,0,0,0,0
U00204,45,2,4,4,0,3.9,3.6,154.3,183,5.6,3338,7.6,4.9,929,2,0,0,0,0,0
U00205,25,0,3,6,0,1.5,19.1,235.2,17,2.0,5411,7.5,4.6,1540,0,0,0,0,0,0
U00206,60,2,3,9,0,7.9,32.2,238.0,65,2.2,4387,7.3,4.1,171,1,0,0,0,0,0
U00207,59,2,7,5,0,7.2,1.0,147.4,93,3.6,3533,3.2,3.5,541,4,0,0,0,0,0
U00208,23,0,1,9,0,3.2,32.2,92.2,112,4.1,6328,1.9,2.0,252,3,0,0,0,0,0
U00209,21,1,0,6,0,2.7,25.3,76.5,169,5.9,2312,4.0,1.8,185,2,0,0,0,0,0
U00210,16,1,2,5,0,8.2,8.4,233.3,142,0.9,8059,1.2,4.6,1804,4,0,0,0,0,0
U00211,15,2,6,8,0,11.4,20.4,171.1,47,1.6,4815,7.8,4.2,535,4,0,0,0,0,0
U00212,20,0,5,5,0,9.3,10.9,103.8,144,3.5,4535,1.7,2.8,1130,1,0,0,0,0,0
U00213,37,1,4,2,0,9.7,26.3,94.1,31,3.8,9853,7.8,4.9,644,3,0,0,0,0,0
U00214,18,2,1,1,0,10.7,24.8,170.7,184,1.0,9616,2.0,3.8,1542,4,0,0,0,0,0
U00215,33,2,3,7,0,8.3,46.6,28.4,175,0.6,9944,7.4,4.2,1390,3,0,0,0,0,0
U00216,21,1,5,1,0,12.0,18.0,211.5,113,3.1,1204,1.3,2.0,1766,4,0,0,0,0,0
U00217,28,2,0,5,0,10.1,23.4,209.2,78,5.7,5198,4.1,1.6,1712,2,0,0,0,0,0
U00218,26,0,5,1,0,5.5,8.5,207.8,132,1.4,2955,3.0,0.5,388,1,0,0,0,0,0
U00219,51,2,0,5,0,5.4,49.1,106.7,126,1.3,187,5.2,0.7,1496,1,0,0,0,0,0
U00220,43,2,1,7,0,4.8,22.0,23.9,187,3.7,8962,6.1,4.8,519,3,0,0,0,0,0
U00221,37,0,0,9,0,6.2,22.0,206.9,58,3.6,625,3.4,4.1,198,1,0,0,0,0,0
U00222,34,0,4,8,0,8.2,43.2,30.6,14,5.1,1312,6.5,3.9,1861,4,0,0,0,0,0
U00223,45,1,9,8,0,3.9,15.1,68.9,124,5.0,1599,4.5,1.7,1484,2,0,0,0,0,0
U00224,26,0,7,5,0,7.0,27.7,199.0,82,3.9,3790,5.4,3.2,1004,1,0,0,0,0,0
U00225,26,2,6,1,0,9.4,16.1,121.1,52,0.8,5732,1.0,4.4,1882,4,0,0,0,0,0
U00226,55,0,2,2,0,7.5,4.2,71.0,171,1.0,8505,4.6,3.7,364,4,0,0,0,0,0
U00227,20,1,2,6,0,4.0,2.5,219.7,83,4.3,891,0.7,3.4,706,0,0,0,0,0,0
U00228,41,0,7,0,1,10.1,38.2,66.3,126,3.5,2472,3.7,4.4,1901,0,1,1,1,1,1
U00229,25,0,8,2,0,6.4,8.4,5.7,168,3.4,4312,1.1,2.4,651,2,0,0,0,0,0
U00230,31,2,8,3,0,9.5,20.0,299.1,185,5.2,4643,5.7,2.5,529,3,0,0,0,0,0
U00231,36,2,5,3,0,1.7,1.7,179.2,103,3.0,737,2.6,2.9,810,1,0,0,0,0,0
U00232,24,1,7,7,0,11.1,31.5,177.7,94,3.3,6017,1.2,2.3,1413,4,0,0,0,0,0
U00233,34,2,9,5,0,11.0,16.9,80.3,56,4.7,4364,7.9,4.4,1038,4,0,0,0,0,0
U00234,33,2,9,8,0,7.1,29.7,140.9,149,3.1,7909,4.7,3.9,281,0,0,0,0,0,0
U00235,43,1,0,9,0,3.8,25.4,66.9,80,2.4,824,3.4,1.0,1093,0,0,0,0,0,0
U00236,20,2,2,7,0,8.5,49.5,199.5,136,0.5,8540,2.2,4.4,880,3,0,0,0,0,0
U00237,26,2,4,6,0,1.7,39.0,195.8,14,1.8,2268,7.2,1.0,669,4,0,0,0,0,0
